Unnamed: 0,patient,node,x_coord,y_coord,tumor,slide,center,split
299031,52,1,14688,9984,0,29,2,0
440727,80,1,34080,17344,0,40,4,0
120112,73,1,3584,39776,1,38,3,0
99682,73,1,8352,40320,1,38,3,0
361547,64,0,9568,41952,0,33,3,0
291246,40,2,19104,16000,0,20,2,0
91423,62,2,18080,21184,1,32,3,0
8190,12,0,5824,26304,1,3,0,0
143617,75,4,7392,40064,1,39,3,0
301588,46,4,4608,14304,0,26,2,0
258452,20,4,17472,36704,0,11,1,0
344237,68,1,16800,17888,0,36,3,0
203907,96,0,35392,6912,1,48,4,0
91382,62,2,16992,21088,1,32,3,0
424391,81,4,25344,9760,0,41,4,1
455904,80,1,19904,9216,0,40,4,0
233400,9,1,16928,39680,0,1,0,0
58366,51,2,31104,11744,1,28,2,1
52248,44,4,8448,3648,1,23,2,0
150479,75,4,6400,40352,1,39,3,0
426643,99,4,8736,14240,0,49,4,0
294961,40,2,1536,8288,0,20,2,1
66959,51,2,17664,19200,1,28,2,0
290597,45,1,20832,9664,0,24,2,0
164677,96,0,20992,5888,1,48,4,0
5201,12,0,3936,24256,1,3,0,0
108062,73,1,5472,41984,1,38,3,0
292483,52,1,9920,8256,0,29,2,0
159606,92,1,33120,18752,1,47,4,0
314746,46,3,15968,4480,0,25,2,0
211927,96,0,33184,6912,1,48,4,0
377265,68,1,10208,26400,0,36,3,0
349645,62,2,2272,35296,0,32,3,0
259055,22,4,1152,4224,0,13,1,0
146861,75,4,16896,19040,1,39,3,0
137990,73,1,5408,38976,1,38,3,0
293692,48,1,21664,6560,0,27,2,1
302761,46,4,2048,17760,0,26,2,0
128250,73,1,5472,41856,1,38,3,1
349003,64,0,15712,44768,0,33,3,0
363314,68,1,10720,24064,0,36,3,1
25097,17,2,8768,21120,1,8,0,0
237925,17,4,5440,19264,0,9,0,1
430670,81,4,23936,4992,0,41,4,0
247703,17,2,13088,24672,0,8,0,0
35454,22,4,16288,42848,1,13,1,0
3549,12,0,6080,27168,1,3,0,0
147218,75,4,2976,40000,1,39,3,0
249021,16,1,12352,19648,0,6,0,0
335473,75,4,17024,38432,0,39,3,0
182596,96,0,26144,11040,1,48,4,1
394282,80,1,18752,15328,0,40,4,0
89967,62,2,17472,21920,1,32,3,0
296621,51,2,28608,10208,0,28,2,0
59465,51,2,30912,13408,1,28,2,0
64804,51,2,29632,14944,1,28,2,0
354991,66,2,5024,25472,0,34,3,0
167085,96,0,24960,5920,1,48,4,0
106746,73,1,19584,18272,1,38,3,0
199833,96,0,26496,7136,1,48,4,1
134000,73,1,16416,17344,1,38,3,0
381837,68,1,13088,31968,0,36,3,0
24725,17,2,13920,37280,1,8,0,0
16667,15,1,8448,37824,1,4,0,0
162200,96,0,39200,10048,1,48,4,0
381998,60,3,7616,26944,0,30,3,0
370009,68,1,13792,19424,0,36,3,0
383623,87,0,32320,7328,0,44,4,0
444537,86,4,38944,8352,0,43,4,0
149071,75,4,2016,37632,1,39,3,0
58953,51,2,16864,21280,1,28,2,0
180921,96,0,23616,4544,1,48,4,1
397582,92,1,27520,21056,0,47,4,0
182638,96,0,36448,4064,1,48,4,0
142878,75,4,6624,39328,1,39,3,0
251800,17,2,12768,24352,0,8,0,0
414716,88,1,9088,7360,0,45,4,0
340168,72,0,11296,36160,0,37,3,0
277752,45,1,26144,8448,0,24,2,0
210739,96,0,26080,9728,1,48,4,1
122839,73,1,18720,18304,1,38,3,0
380986,61,4,3840,41312,0,31,3,0
242509,9,1,16896,41600,0,1,0,0
87264,52,1,21920,8992,1,29,2,0
426602,86,0,21536,19072,0,42,4,0
165768,96,0,26496,10016,1,48,4,0
396338,87,0,15968,10080,0,44,4,1
152650,75,4,1856,40064,1,39,3,0
68827,51,2,28928,13120,1,28,2,1
414323,80,1,22048,9344,0,40,4,0
436308,99,4,12928,16096,0,49,4,0
410852,88,1,12416,7520,0,45,4,0
106941,73,1,3840,39360,1,38,3,0
33711,22,4,13568,16960,1,13,1,1
33620,22,4,14752,39296,1,13,1,0
411136,86,0,18784,14880,0,42,4,1
307538,45,1,8000,10688,0,24,2,0
112062,73,1,5856,42048,1,38,3,0
341272,67,4,8576,46688,0,35,3,0
94384,73,1,6656,41344,1,38,3,0
294284,42,3,23680,5568,0,22,2,0
103856,73,1,2880,40992,1,38,3,0
413106,87,0,14432,12160,0,44,4,0
360884,66,2,6528,25280,0,34,3,0
201700,96,0,34240,7488,1,48,4,0
34429,22,4,16256,43520,1,13,1,0
399430,81,4,17408,19936,0,41,4,0
426385,87,0,14944,3584,0,44,4,0
170401,96,0,36224,7744,1,48,4,0
123689,73,1,15776,17920,1,38,3,0
200304,96,0,26144,8384,1,48,4,0
199469,96,0,23552,6336,1,48,4,0
246493,15,1,17920,30144,0,4,0,0
247270,17,1,18400,27040,0,7,0,0
444786,87,0,15872,4544,0,44,4,0
80017,51,2,19328,17472,1,28,2,0
158860,92,1,31936,17760,1,47,4,0
313079,41,0,19424,6400,0,21,2,0
160753,92,1,32096,17056,1,47,4,0
29622,17,4,17056,13152,1,9,0,0
264357,22,4,8384,39616,0,13,1,0
288066,51,2,29056,10528,0,28,2,0
435260,86,0,25120,20896,0,42,4,0
235162,10,4,14880,26720,0,2,0,0
107058,73,1,7296,43136,1,38,3,0
279248,48,1,19904,2272,0,27,2,0
36592,22,4,12512,38720,1,13,1,0
156912,92,1,31296,18112,1,47,4,0
389250,88,1,19168,5504,0,45,4,0
442517,92,1,32512,2720,0,47,4,0
177821,96,0,34464,6848,1,48,4,0
435264,81,4,24832,11136,0,41,4,0
329293,73,1,13920,37888,0,38,3,0
195279,96,0,38624,7712,1,48,4,0
2351,12,0,5568,24096,1,3,0,0
128694,73,1,4576,42688,1,38,3,0
216518,96,0,33568,5632,1,48,4,0
147308,75,4,2720,39584,1,39,3,0
393492,89,3,35904,7296,0,46,4,1
123911,73,1,18144,17696,1,38,3,0
442648,86,0,21824,3648,0,42,4,0
75138,51,2,18304,19104,1,28,2,1
171290,96,0,38336,3616,1,48,4,0
264347,39,1,15520,27296,0,19,1,0
110328,73,1,3840,39424,1,38,3,0
215721,96,0,24800,7680,1,48,4,0
404485,89,3,24960,4512,0,46,4,0
43602,34,3,17760,24224,1,16,1,0
294266,41,0,20000,7584,0,21,2,0
321554,64,0,9088,34400,0,33,3,0
66409,51,2,28960,14976,1,28,2,0
369564,62,2,5408,23488,0,32,3,0
254402,15,2,13376,22272,0,5,0,1
394815,87,0,4224,8032,0,44,4,1
272326,21,3,13792,12832,0,12,1,1
242376,9,1,10784,45024,0,1,0,0
128156,73,1,4160,42496,1,38,3,0
263366,20,4,19840,36480,0,11,1,0
193459,96,0,32544,7744,1,48,4,0
173376,96,0,23488,4256,1,48,4,0
382012,73,1,14880,19488,0,38,3,0
12713,12,0,2976,24768,1,3,0,0
375518,62,2,2656,28416,0,32,3,0
196897,96,0,22272,3584,1,48,4,0
228539,10,4,17920,15712,0,2,0,0
416483,80,1,9600,7232,0,40,4,0
411108,87,0,3520,5952,0,44,4,0
15985,15,1,8672,36864,1,4,0,0
203236,96,0,21920,5600,1,48,4,0
237451,17,2,19584,19232,0,8,0,0
380860,62,2,6240,22432,0,32,3,0
281575,42,3,18720,14144,0,22,2,0
176572,96,0,34752,4544,1,48,4,0
287237,46,3,16480,7040,0,25,2,0
152128,75,4,2144,37952,1,39,3,1
337071,66,2,23040,46176,0,34,3,0
422630,81,4,6112,3712,0,41,4,0
28556,17,2,6592,21024,1,8,0,0
96665,73,1,5184,38944,1,38,3,0
205648,96,0,25728,8512,1,48,4,0
404783,92,1,28608,3680,0,47,4,0
192155,96,0,36896,9536,1,48,4,0
76376,51,2,32480,11936,1,28,2,0
379113,73,1,13920,21536,0,38,3,1
368366,62,2,8672,20736,0,32,3,0
60689,51,2,28224,14528,1,28,2,0
448096,92,1,30848,18720,0,47,4,0
136935,73,1,7488,42976,1,38,3,0
386164,96,0,40224,15008,0,48,4,0
84128,52,1,21728,5952,1,29,2,0
241153,4,4,4736,19520,0,0,0,0
193756,96,0,26336,9088,1,48,4,0
293149,52,1,21408,6080,0,29,2,0
10009,12,0,5248,25696,1,3,0,0
190159,96,0,34400,11584,1,48,4,0
318124,60,3,17248,39712,0,30,3,1
378043,60,3,17600,29056,0,30,3,0
85832,52,1,22368,9088,1,29,2,0
348883,62,2,14720,19936,0,32,3,0
334470,68,1,19328,17504,0,36,3,0
304050,45,1,8800,17056,0,24,2,0
1292,10,4,19200,16672,1,2,0,0
95455,73,1,7552,42112,1,38,3,0
344666,64,0,16544,44128,0,33,3,0
42341,34,3,17536,24160,1,16,1,1
273841,24,1,10816,42592,0,14,1,0
380182,60,3,15808,28416,0,30,3,0
197887,96,0,33856,8768,1,48,4,0
452492,86,4,15904,11680,0,43,4,0
427832,80,1,23392,6880,0,40,4,0
8955,12,0,2752,25152,1,3,0,0
380394,68,1,6240,18816,0,36,3,1
60325,51,2,19840,18528,1,28,2,0
158524,92,1,32000,18816,1,47,4,0
382731,81,4,7936,8608,0,41,4,0
237896,17,2,11232,24544,0,8,0,0
83449,52,1,21216,9888,1,29,2,0
397352,92,1,27776,3520,0,47,4,0
33037,20,4,16576,29920,1,11,1,0
155810,92,1,32960,18592,1,47,4,0
315697,40,2,14720,5984,0,20,2,0
40445,22,4,14560,39296,1,13,1,0
44250,34,3,17152,23936,1,16,1,0
448649,86,4,6624,7520,0,43,4,0
22271,17,2,13056,37696,1,8,0,0
273347,36,3,4032,40160,0,17,1,0
84898,52,1,23008,8832,1,29,2,0
83842,52,1,22176,7872,1,29,2,0
33529,22,4,13344,16576,1,13,1,0
425339,87,0,7648,9504,0,44,4,0
7326,12,0,5632,26880,1,3,0,0
434276,86,0,8032,13024,0,42,4,0
332257,73,1,6336,22752,0,38,3,0
394419,86,0,30368,10464,0,42,4,0
196383,96,0,39584,9632,1,48,4,0
137412,73,1,3616,39776,1,38,3,0
170111,96,0,37568,8832,1,48,4,0
192178,96,0,27008,10496,1,48,4,0
433525,86,0,30048,10432,0,42,4,0
262823,36,3,12000,22048,0,17,1,0
54727,46,3,12448,6080,1,25,2,0
37206,22,4,12672,38592,1,13,1,0
386329,92,1,30912,4736,0,47,4,0
410733,96,0,23264,3104,0,48,4,0
438448,96,0,20800,4704,0,48,4,0
436109,87,0,40544,13696,0,44,4,0
369469,73,1,3712,24800,0,38,3,0
420463,87,0,30528,9408,0,44,4,0
95157,73,1,7072,42336,1,38,3,0
330636,68,1,11456,30208,0,36,3,0
243053,17,1,17504,29728,0,7,0,0
171530,96,0,32832,9376,1,48,4,0
271715,22,4,14688,20704,0,13,1,0
392832,80,1,35232,8832,0,40,4,0
352209,64,0,16864,42976,0,33,3,0
58460,51,2,31616,13472,1,28,2,0
279327,52,1,8512,8320,0,29,2,0
94701,73,1,1536,40992,1,38,3,1
400486,92,1,25312,11072,0,47,4,0
25509,17,2,10688,37984,1,8,0,0
196826,96,0,21600,4512,1,48,4,1
345813,68,1,14592,23104,0,36,3,0
114125,73,1,19680,18784,1,38,3,0
406839,86,4,5088,20288,0,43,4,0
296119,46,4,3552,19520,0,26,2,0
295447,40,2,26848,12000,0,20,2,0
415368,86,4,15776,13248,0,43,4,0
12514,12,0,4032,24544,1,3,0,0
261356,22,4,12896,21568,0,13,1,0
201913,96,0,34720,6144,1,48,4,0
30987,20,4,16192,30368,1,11,1,0
404761,88,1,11680,11200,0,45,4,0
284636,51,2,4768,14848,0,28,2,0
114365,73,1,8192,43808,1,38,3,0
67018,51,2,21120,19072,1,28,2,0
97080,73,1,8128,40288,1,38,3,0
33861,22,4,16544,41952,1,13,1,0
147486,75,4,3296,39552,1,39,3,0
438180,86,0,28896,9696,0,42,4,0
185469,96,0,34048,10688,1,48,4,0
33362,22,4,15520,18368,1,13,1,0
335724,73,1,10688,32608,0,38,3,0
142293,75,4,17344,18656,1,39,3,0
24173,17,2,13024,36992,1,8,0,1
11834,12,0,4480,25568,1,3,0,0
364324,72,0,16896,41888,0,37,3,0
324784,75,4,2816,14592,0,39,3,0
340985,68,1,8736,26208,0,36,3,0
445607,96,0,27712,7936,0,48,4,0
214085,96,0,27296,5984,1,48,4,0
226241,99,4,20896,3872,1,49,4,0
165527,96,0,34944,11712,1,48,4,0
120659,73,1,3296,42944,1,38,3,0
35460,22,4,15776,41280,1,13,1,0
204357,96,0,38976,8832,1,48,4,1
419097,80,1,20352,7136,0,40,4,0
113215,73,1,4672,41280,1,38,3,0
186506,96,0,25600,9824,1,48,4,0
117817,73,1,4576,40160,1,38,3,0
409598,89,3,35616,7072,0,46,4,1
240206,17,2,15776,17152,0,8,0,0
83840,52,1,22112,8992,1,29,2,0
172065,96,0,25760,5600,1,48,4,0
126224,73,1,18592,17952,1,38,3,0
115641,73,1,5824,41856,1,38,3,0
350778,68,1,6688,11200,0,36,3,0
111069,73,1,3232,39072,1,38,3,0
134199,73,1,16704,19424,1,38,3,0
442346,86,4,14016,15936,0,43,4,0
319794,67,4,8864,35168,0,35,3,0
193134,96,0,37472,7488,1,48,4,0
131033,73,1,13824,20608,1,38,3,0
214166,96,0,24608,9984,1,48,4,0
176393,96,0,25984,5664,1,48,4,0
430206,89,3,22496,6560,0,46,4,0
339128,73,1,14080,38208,0,38,3,0
264563,22,4,9824,42976,0,13,1,0
327749,62,2,1216,35936,0,32,3,0
238902,9,1,13600,33696,0,1,0,0
219210,99,4,21056,4864,1,49,4,0
93545,73,1,3200,41792,1,38,3,0
65301,51,2,19872,17792,1,28,2,0
295363,40,2,22592,18144,0,20,2,0
20796,17,2,13472,36448,1,8,0,0
256809,10,4,16384,15520,0,2,0,0
433549,81,4,16128,8928,0,41,4,0
294449,46,3,20864,20128,0,25,2,0
189509,96,0,33792,4160,1,48,4,0
109733,73,1,20032,18144,1,38,3,0
20255,17,1,16768,26112,1,7,0,0
137876,73,1,20000,18016,1,38,3,0
327616,68,1,17824,26112,0,36,3,0
412370,92,1,30848,14048,0,47,4,0
347838,67,4,18464,35776,0,35,3,0
327039,60,3,16896,41216,0,30,3,0
107655,73,1,15360,17856,1,38,3,0
414280,87,0,38272,2176,0,44,4,0
49078,42,3,9120,15808,1,22,2,0
166822,96,0,36416,6624,1,48,4,0
261515,24,2,17376,10208,0,15,1,0
64631,51,2,31616,11296,1,28,2,0
320527,60,3,16992,39104,0,30,3,0
259197,22,4,10848,15616,0,13,1,0
284927,40,2,19776,11776,0,20,2,0
248317,15,1,11264,32992,0,4,0,0
366070,64,0,10592,35840,0,33,3,0
313337,48,1,23712,19456,0,27,2,0
435066,87,0,7744,7232,0,44,4,0
430904,89,3,33760,10432,0,46,4,0
255176,10,4,8032,25888,0,2,0,0
366721,62,2,16320,38048,0,32,3,0
197512,96,0,23584,10496,1,48,4,0
401611,81,4,6016,8128,0,41,4,0
147812,75,4,1344,39584,1,39,3,0
60769,51,2,32288,12896,1,28,2,0
14807,15,1,10304,36192,1,4,0,0
362785,62,2,16352,38784,0,32,3,0
96855,73,1,7584,41152,1,38,3,0
145509,75,4,16128,19296,1,39,3,0
143121,75,4,1280,39904,1,39,3,0
434054,87,0,16992,13856,0,44,4,0
58434,51,2,30624,13888,1,28,2,0
223404,99,4,19520,2688,1,49,4,0
133551,73,1,5920,42528,1,38,3,0
333702,60,3,17024,43936,0,30,3,0
31037,20,4,17088,29312,1,11,1,0
284465,46,3,11584,5664,0,25,2,0
83811,52,1,21760,9696,1,29,2,0
146155,75,4,1728,37632,1,39,3,0
209220,96,0,23296,4704,1,48,4,0
84958,52,1,22848,8896,1,29,2,0
123459,73,1,3104,39744,1,38,3,0
264197,24,2,3520,16768,0,15,1,0
186007,96,0,26400,10016,1,48,4,0
173820,96,0,24640,3488,1,48,4,0
253015,17,2,10016,37280,0,8,0,0
28898,17,2,13184,38208,1,8,0,1
140298,73,1,6112,43872,1,38,3,0
61416,51,2,18752,18624,1,28,2,0
264184,22,4,9120,22592,0,13,1,0
325506,68,1,11776,28768,0,36,3,0
108593,73,1,2528,41312,1,38,3,0
380490,75,4,8832,42560,0,39,3,1
32883,20,4,16480,30080,1,11,1,0
317736,60,3,16384,29728,0,30,3,0
304531,52,1,22144,4448,0,29,2,0
206312,96,0,25920,4960,1,48,4,0
342716,60,3,7840,34208,0,30,3,1
332727,68,1,19296,23360,0,36,3,0
379752,72,0,14432,35968,0,37,3,0
337231,73,1,13824,30752,0,38,3,0
254873,4,4,9344,21376,0,0,0,0
270458,36,3,12032,33696,0,17,1,0
261306,39,1,9312,42944,0,19,1,0
13550,12,0,2880,24576,1,3,0,0
133041,73,1,7712,43168,1,38,3,0
287052,40,2,3104,8960,0,20,2,0
52080,44,4,8704,3904,1,23,2,0
120603,73,1,2656,42048,1,38,3,0
454241,99,4,3584,5344,0,49,4,0
164681,96,0,38752,5152,1,48,4,0
7299,12,0,4384,25312,1,3,0,0
182523,96,0,24032,11520,1,48,4,0
63645,51,2,29952,11936,1,28,2,1
4009,12,0,5344,24448,1,3,0,0
121206,73,1,1568,43936,1,38,3,0
329375,66,2,4480,29248,0,34,3,0
292716,46,4,10016,4448,0,26,2,0
449421,81,4,10336,5632,0,41,4,0
177864,96,0,24640,11776,1,48,4,1
262143,20,2,6592,37120,0,10,1,0
19468,15,2,16992,25664,1,5,0,0
273762,20,4,16032,27680,0,11,1,0
106286,73,1,18464,17952,1,38,3,0
404341,86,0,7008,11872,0,42,4,0
286222,42,3,19840,15168,0,22,2,0
326031,72,0,14816,44768,0,37,3,0
171415,96,0,32416,8416,1,48,4,0
252925,9,1,7936,27712,0,1,0,0
197070,96,0,33024,5248,1,48,4,0
209566,96,0,34368,8704,1,48,4,0
36670,22,4,15072,17600,1,13,1,0
70760,51,2,17952,21408,1,28,2,0
39407,22,4,14496,16928,1,13,1,0
35787,22,4,16128,19840,1,13,1,0
77762,51,2,20960,17984,1,28,2,0
1309,10,4,18720,16768,1,2,0,1
435023,81,4,19392,11232,0,41,4,0
379999,67,4,6080,32064,0,35,3,0
9485,12,0,4256,25792,1,3,0,1
198920,96,0,25728,4320,1,48,4,0
429603,96,0,40128,8224,0,48,4,0
335005,60,3,15712,35904,0,30,3,0
202051,96,0,33664,4224,1,48,4,0
367494,68,1,11296,28672,0,36,3,0
226622,99,4,19840,3296,1,49,4,0
142311,75,4,3584,40192,1,39,3,0
407694,81,4,18624,1888,0,41,4,0
142035,75,4,17184,18784,1,39,3,0
450358,92,1,29344,9952,0,47,4,1
416409,86,4,13696,20928,0,43,4,0
350627,73,1,5952,32960,0,38,3,0
17823,15,1,8992,36384,1,4,0,0
262200,39,1,14944,41152,0,19,1,0
175500,96,0,22848,11840,1,48,4,0
144089,75,4,7520,40352,1,39,3,0
448346,99,4,12192,17728,0,49,4,0
183142,96,0,26720,9056,1,48,4,0
454338,99,4,20704,6528,0,49,4,1
224711,99,4,20928,1920,1,49,4,0
312321,45,1,5440,13664,0,24,2,0
142592,75,4,3520,39456,1,39,3,1
223873,99,4,19456,3104,1,49,4,1
160870,92,1,32128,17664,1,47,4,0
443504,99,4,12384,14560,0,49,4,0
210120,96,0,25888,7680,1,48,4,0
169367,96,0,23808,7008,1,48,4,0
175436,96,0,22496,5696,1,48,4,0
232212,9,1,11616,28864,0,1,0,0
90011,62,2,18112,20288,1,32,3,0
97209,73,1,15904,18464,1,38,3,1
264371,22,4,10880,17376,0,13,1,0
150690,75,4,16736,18944,1,39,3,0
446667,80,1,40096,8736,0,40,4,0
234458,17,2,10112,33056,0,8,0,0
452444,92,1,30944,5696,0,47,4,0
233897,4,4,4192,20032,0,0,0,0
223578,99,4,20672,4896,1,49,4,0
154341,75,4,3296,39680,1,39,3,0
285838,40,2,14048,4064,0,20,2,0
297388,48,1,8320,23392,0,27,2,0
97708,73,1,5632,42944,1,38,3,0
335491,73,1,8896,39968,0,38,3,0
177854,96,0,21472,7136,1,48,4,0
317698,73,1,4032,23328,0,38,3,0
359936,67,4,15072,35200,0,35,3,0
401757,92,1,25760,11488,0,47,4,0
293104,45,1,6592,11424,0,24,2,0
97321,73,1,2240,39552,1,38,3,0
355417,68,1,12160,20128,0,36,3,0
271600,38,2,15680,15232,0,18,1,0
326465,73,1,3648,18496,0,38,3,1
322365,73,1,5472,22944,0,38,3,0
338982,68,1,10880,28704,0,36,3,0
406064,88,1,32736,12512,0,45,4,0
220774,99,4,19232,2240,1,49,4,0
158411,92,1,32288,18976,1,47,4,0
327609,75,4,9312,35168,0,39,3,0
64421,51,2,32896,12224,1,28,2,1
345856,68,1,13408,30016,0,36,3,0
298700,40,2,10784,13824,0,20,2,0
128242,73,1,6560,40544,1,38,3,0
13938,12,0,2752,26048,1,3,0,0
83670,52,1,22304,8608,1,29,2,0
73730,51,2,32576,12544,1,28,2,0
334725,72,0,10464,44160,0,37,3,0
398787,81,4,2784,10208,0,41,4,1
108134,73,1,2464,42912,1,38,3,0
333572,68,1,8480,16000,0,36,3,0
170159,96,0,35264,10272,1,48,4,0
176526,96,0,23328,7712,1,48,4,0
143036,75,4,16768,18816,1,39,3,0
33073,20,4,17120,30400,1,11,1,0
89126,52,1,22464,7488,1,29,2,0
240701,10,4,16768,24288,0,2,0,0
443748,80,1,36992,16192,0,40,4,0
36836,22,4,12704,16448,1,13,1,0
400275,86,4,37440,15456,0,43,4,0
324183,73,1,20288,34496,0,38,3,0
408847,86,4,15328,20800,0,43,4,0
219753,99,4,21408,2304,1,49,4,1
147518,75,4,1408,39776,1,39,3,0
303447,51,2,3392,20064,0,28,2,0
53313,44,4,7872,3424,1,23,2,0
205418,96,0,34816,12032,1,48,4,0
21983,17,2,8640,21120,1,8,0,0
150670,75,4,1440,38720,1,39,3,1
443318,92,1,28672,20320,0,47,4,0
61046,51,2,31872,12032,1,28,2,1
69289,51,2,30848,12352,1,28,2,0
369563,73,1,12640,33472,0,38,3,0
339792,68,1,9152,33568,0,36,3,0
